feature,importance_mean,importance_std
miss_distance,0.09145252614829821,0.0034323399775656833
log_miss_distance,0.08929552149084204,0.00395843224707733
absolute_magnitude,0.045126323296120804,0.00449206661550694
log_est_diameter_mean,0.044335428838965706,0.004470434071286787
est_diameter_min,0.04239715467195655,0.004509986880930581
est_diameter_mean,0.04187694564902513,0.004489095649035195
est_diameter_range,0.033185234475973636,0.0047730896818642754
est_diameter_max,0.03261878731919621,0.00436398563885223
log_relative_velocity,0.02367980678420689,0.004089327707746401
relative_velocity,0.022320488084422264,0.002875629507280471
