,count,mean,std,min,q1,median,q3,max
est_diameter_min,90836.0,0.12743210631522306,0.2985112435285911,0.0006089126,0.0192555078,0.0483676488,0.1434019235,37.8926498379
est_diameter_max,90836.0,0.28494685223540667,0.6674914325765066,0.00136157,0.0430566244,0.1081533507,0.320656449,84.7305408852
relative_velocity,90836.0,48066.91891764293,25293.296960671203,203.34643253,28619.02064490995,44190.117890331996,62923.60463276395,236990.1280878666
miss_distance,90836.0,37066546.03042213,22352040.599189542,6745.532515957,17210820.23576468,37846579.263426416,56548996.45139917,74798651.4521972
absolute_magnitude,90836.0,23.52710347219164,2.89408550693204,9.23,21.34,23.7,25.7,33.2
